epoch	reward_per_epoch
1	0.083333333
2	3.461538462
3	0.0625
4	6.56
5	3.244444444
6	4.709677419
7	2.607843137
8	10.27777778
9	6.433333333
10	17.29411765
11	11.7
12	19.57142857
13	10.86956522
14	0.58974359
15	2.510204082
16	8.541666667
17	13
18	11.66666667
19	17.41176471
20	3.567567568
21	21.6875
22	32.26666667
23	29.07692308
24	3.875
25	13
26	15.11764706
27	5.166666667
28	9.96
29	28.85714286
30	25.18181818
31	20.35714286
32	19.46666667
33	0.737704918
34	8.333333333
35	7.615384615
36	13.80952381
37	7.958333333
38	3.75
39	21.5625
40	27.33333333
41	17.0625
42	50.44444444
43	53
44	45.77777778
45	51.81818182
46	50.2
47	3.448275862
48	11.05555556
49	9.181818182
50	1
51	22.5625
52	23.5
53	30
54	35.81818182
55	5
56	39.92857143
57	30.33333333
58	54.55555556
59	79.125
60	14.11764706
61	9.863636364
62	35.66666667
63	8.904761905
64	56.88888889
65	35.3
66	1.94
67	2.224489796
68	0.879310345
69	4.058823529
70	37.6
71	14.625
72	21.75
73	1.166666667
74	48.33333333
75	75.375
76	56.125
77	56.33333333
78	42.36363636
79	32.2
80	64.33333333
81	45.625
82	28.14285714
83	8.384615385
84	99.55555556
85	42.33333333
86	54.1
87	22.66666667
88	45.77777778
89	68.75
90	45.11111111
91	39.3
92	1.46
93	14.64705882
94	83.71428571
95	76.14285714
96	87.22222222
97	12
98	50.4
99	0.5
100	25.28571429
