epoch	reward_per_epoch
1	0
2	0.95
3	0
4	1
5	1.180327869
6	9.538461538
7	9.235294118
8	6.96
9	12.26315789
10	9.2
11	8.64
12	13.25
13	17.66666667
14	15.78947368
15	16.94117647
16	21
17	18.9375
18	22.66666667
19	23.75
20	22.23076923
21	31.83333333
22	24.69230769
23	28.33333333
24	25.92307692
25	33.46153846
26	34.66666667
27	38.54545455
28	34.7
29	54.25
30	43.4
31	38.2
32	53.125
33	54.75
34	51.625
35	68.25
36	23.69230769
37	73.875
38	95
39	106.625
40	60.71428571
41	123.7142857
42	87.25
43	58.22222222
44	83.22222222
45	74.28571429
46	45.77777778
47	100.5555556
48	54.75
49	64.85714286
50	97.42857143
51	81.85714286
52	85.75
53	69.5
54	101
55	116
56	28.1
57	139.4285714
58	85.75
59	116.25
60	124.8571429
61	93.625
62	87
63	153.8571429
64	101.5
65	104.8888889
66	106.25
67	61.75
68	158
69	26.90909091
70	133.1666667
71	155.5714286
72	162.5
73	143.75
74	103.8571429
75	57.11111111
76	143.7142857
77	114.4285714
78	128.4444444
79	128.8333333
80	165.5714286
81	180.8333333
82	71.5
83	149.8571429
84	111.5
85	67.11111111
86	213.1428571
87	164.5
88	53.66666667
89	133.1428571
90	63.81818182
91	131.6666667
92	133.5714286
93	153
94	186.8333333
95	154.3333333
96	136.5
97	43.16666667
98	36.81818182
99	196.3333333
100	94.75
