epoch	reward_per_epoch
1	136.952380952
2	266.376811594
3	335.151515152
4	299.466666667
5	308.947368421
6	313.333333333
7	274.473684211
8	246.40776699
9	313.93258427
10	387.5
11	332.394366197
12	423.466666667
13	460.571428571
14	530.571428571
15	663.448275862
16	857.959183673
17	738.181818182
18	1021.33333333
19	992.5
20	1133.18181818
21	1250.0
22	1185.58139535
23	1270.69767442
24	1143.69565217
25	1356.58536585
26	1185.91836735
27	1591.31578947
28	1335.22727273
29	1480.45454545
30	1530.71428571
31	1588.0952381
32	1856.75
33	928.181818182
34	1286.81818182
35	198.390804598
36	1478.97435897
37	1224.88372093
38	1569.75609756
39	1167.55555556
40	1663.90243902
41	1674.87179487
42	1352.04545455
43	1943.15789474
44	1407.31707317
45	1252.30769231
46	1369.0
47	1431.53846154
48	1362.14285714
49	1284.09090909
50	1027.34693878
51	1418.94736842
52	1296.66666667
53	1349.04761905
54	1626.11111111
55	1414.73684211
56	1359.02439024
57	1423.07692308
58	1211.08695652
59	1267.90697674
60	1367.31707317
61	1228.44444444
62	1461.0
63	1495.38461538
64	1232.88888889
65	1311.1627907
66	1409.53488372
67	1397.56097561
68	1352.85714286
69	1184.34782609
70	1387.31707317
71	1353.17073171
72	1205.10638298
73	1470.76923077
74	1203.04347826
75	1375.71428571
76	1276.36363636
77	1017.73584906
78	1223.55555556
79	1322.38095238
80	1248.37209302
81	1392.85714286
82	1384.87804878
83	1744.87179487
84	1302.27272727
85	1277.20930233
86	1517.10526316
87	1448.20512821
88	1366.34146341
89	1451.28205128
90	1715.12195122
91	1249.78723404
92	1558.0
93	1540.75
94	1459.23076923
95	1856.57894737
96	2066.0
97	2027.36842105
98	1562.30769231
99	1453.5
100	2093.24324324
