epoch	reward_per_epoch
1	293.333333333
2	183.636363636
3	244.0
4	305.0
5	302.0
6	210.0
7	189.230769231
8	295.555555556
9	205.333333333
10	186.666666667
11	223.076923077
12	182.666666667
13	170.769230769
14	323.076923077
15	246.666666667
16	330.0
17	215.714285714
18	250.666666667
19	236.0
20	331.428571429
21	242.666666667
22	222.352941176
23	306.666666667
24	260.0
25	310.769230769
26	182.222222222
27	385.0
28	524.0
29	428.333333333
30	394.285714286
31	525.454545455
32	321.538461538
33	430.0
34	275.714285714
35	532.727272727
36	468.333333333
37	757.5
38	428.333333333
39	572.0
40	398.333333333
41	284.0
42	362.857142857
43	574.0
44	393.846153846
45	895.0
46	534.545454545
47	642.0
48	633.333333333
49	590.0
50	586.0
51	733.333333333
52	624.0
53	682.222222222
54	748.888888889
55	675.555555556
56	860.0
57	446.666666667
58	737.5
59	1150.0
60	682.222222222
61	877.5
62	606.0
63	1011.42857143
64	912.5
65	934.285714286
66	1042.85714286
67	391.428571429
68	1166.66666667
69	870.0
70	827.5
71	875.0
72	560.0
73	1028.57142857
74	1246.66666667
75	674.0
76	902.5
77	1040.0
78	660.0
79	860.0
80	1045.71428571
81	925.714285714
82	764.444444444
83	900.0
84	813.333333333
85	982.857142857
86	971.428571429
87	554.545454545
88	614.545454545
89	589.090909091
90	862.5
91	968.571428571
92	437.142857143
93	962.5
94	558.181818182
95	866.666666667
96	592.727272727
97	538.461538462
98	282.105263158
99	533.333333333
100	806.0
